name query ANI species
GCF_010731695.1 GCF_014218295.1 88.0474 "M. litorale"
GCF_010731695.1 AP023287 88.0474 "M. litorale"
GCF_010731695.1 GCF_016313185.1 87.4392 "M. litorale"
GCF_010731695.1 GCF_015910495.1 87.3829 "M. litorale"
GCF_010731695.1 GCF_010728155.1 85.32 "M. litorale"
GCF_010731695.1 GCF_017352375.1 82.866 "M. litorale"
GCF_010731695.1 GCF_023015925.1 82.739 "M. litorale"
GCF_010731695.1 GCF_030519285.1 82.156 "M. litorale"
GCF_010731695.1 GCF_001583415.1 82.0291 "M. litorale"
GCF_010731695.1 GCF_900603025.1 81.0534 "M. litorale"
GCF_010731695.1 GCF_900187065.1 80.7929 "M. litorale"
GCF_010731695.1 GCF_022179545.1 80.24 "M. litorale"
GCF_014218295.1 AP023287 100 "M. sp."
GCF_014218295.1 GCF_014218295.1 100 "M. sp."
GCF_014218295.1 TPG_MSP_01 99.5866 "M. sp."
GCF_014218295.1 GCF_010731695.1 88.1691 "M. sp."
GCF_014218295.1 NZ_AP022586 88.1691 "M. sp."
GCF_014218295.1 GCF_016313185.1 86.6712 "M. sp."
GCF_014218295.1 GCF_015910495.1 86.6323 "M. sp."
GCF_014218295.1 GCF_010728155.1 85.111 "M. sp."
GCF_014218295.1 GCF_023015925.1 82.7306 "M. sp."
GCF_014218295.1 GCF_017352375.1 82.4391 "M. sp."
GCF_014218295.1 GCF_030519285.1 82.0829 "M. sp."
GCF_014218295.1 GCF_001583415.1 81.8938 "M. sp."
GCF_014218295.1 GCF_900603025.1 81.0227 "M. sp."
GCF_014218295.1 GCF_900187065.1 80.9531 "M. sp."
GCF_014218295.1 GCF_022179545.1 80.213 "M. sp."
GCF_015910495.1 GCF_015910495.1 100 "M. biaxiangningiae"
GCF_015910495.1 GCF_016313185.1 97.3637 "M. biaxiangningiae"
GCF_015910495.1 NZ_AP022586 87.502 "M. biaxiangningiae"
GCF_015910495.1 GCF_010731695.1 87.502 "M. biaxiangningiae"
GCF_015910495.1 GCF_014218295.1 86.7909 "M. biaxiangningiae"
GCF_015910495.1 AP023287 86.7909 "M. biaxiangningiae"
GCF_015910495.1 TPG_MSP_01 86.6985 "M. biaxiangningiae"
GCF_015910495.1 GCF_010728155.1 85.1147 "M. biaxiangningiae"
GCF_015910495.1 GCF_023015925.1 82.4639 "M. biaxiangningiae"
GCF_015910495.1 GCF_017352375.1 82.3393 "M. biaxiangningiae"
GCF_015910495.1 GCF_030519285.1 81.8437 "M. biaxiangningiae"
GCF_015910495.1 GCF_001583415.1 81.3557 "M. biaxiangningiae"
GCF_015910495.1 GCF_900603025.1 80.5276 "M. biaxiangningiae"
GCF_015910495.1 GCF_900187065.1 80.2755 "M. biaxiangningiae"
GCF_015910495.1 GCF_022179545.1 79.8692 "M. biaxiangningiae"
GCF_016313185.1 GCF_016313185.1 100 "M. biaxiangningiae"
GCF_016313185.1 GCF_015910495.1 97.2478 "M. biaxiangningiae"
GCF_016313185.1 NZ_AP022586 87.3561 "M. biaxiangningiae"
GCF_016313185.1 GCF_010731695.1 87.3561 "M. biaxiangningiae"
GCF_016313185.1 AP023287 86.6133 "M. biaxiangningiae"
GCF_016313185.1 GCF_014218295.1 86.6133 "M. biaxiangningiae"
GCF_016313185.1 TPG_MSP_01 86.5517 "M. biaxiangningiae"
GCF_016313185.1 GCF_010728155.1 85.1322 "M. biaxiangningiae"
GCF_016313185.1 GCF_023015925.1 82.3215 "M. biaxiangningiae"
GCF_016313185.1 GCF_017352375.1 82.293 "M. biaxiangningiae"
GCF_016313185.1 GCF_030519285.1 81.6729 "M. biaxiangningiae"
GCF_016313185.1 GCF_001583415.1 81.3834 "M. biaxiangningiae"
GCF_016313185.1 GCF_900603025.1 80.4132 "M. biaxiangningiae"
GCF_016313185.1 GCF_900187065.1 80.355 "M. biaxiangningiae"
GCF_016313185.1 GCF_022179545.1 79.9434 "M. biaxiangningiae"
GCF_017352375.1 GCF_017352375.1 100 "M. sp."
GCF_017352375.1 GCF_023015925.1 87.0064 "M. sp."
GCF_017352375.1 NZ_AP022586 82.8362 "M. sp."
GCF_017352375.1 GCF_010731695.1 82.8362 "M. sp."
GCF_017352375.1 GCF_014218295.1 82.6347 "M. sp."
GCF_017352375.1 AP023287 82.6347 "M. sp."
GCF_017352375.1 TPG_MSP_01 82.4841 "M. sp."
GCF_017352375.1 GCF_016313185.1 82.2813 "M. sp."
GCF_017352375.1 GCF_015910495.1 82.2777 "M. sp."
GCF_017352375.1 GCF_030519285.1 81.8371 "M. sp."
GCF_017352375.1 GCF_010728155.1 81.7761 "M. sp."
GCF_017352375.1 GCF_001583415.1 81.0754 "M. sp."
GCF_017352375.1 GCF_900603025.1 80.315 "M. sp."
GCF_017352375.1 GCF_900187065.1 80.12 "M. sp."
GCF_017352375.1 GCF_022179545.1 79.9312 "M. sp."
GCF_022179545.1 GCF_022179545.1 100 "M. fortuitum"
GCF_022179545.1 GCF_001583415.1 80.5052 "M. fortuitum"
GCF_022179545.1 GCF_010731695.1 80.2318 "M. fortuitum"
GCF_022179545.1 NZ_AP022586 80.2318 "M. fortuitum"
GCF_022179545.1 GCF_030519285.1 80.1693 "M. fortuitum"
GCF_022179545.1 AP023287 80.1572 "M. fortuitum"
GCF_022179545.1 GCF_014218295.1 80.1572 "M. fortuitum"
GCF_022179545.1 TPG_MSP_01 80.058 "M. fortuitum"
GCF_022179545.1 GCF_015910495.1 79.8952 "M. fortuitum"
GCF_022179545.1 GCF_900603025.1 79.8738 "M. fortuitum"
GCF_022179545.1 GCF_016313185.1 79.8575 "M. fortuitum"
GCF_022179545.1 GCF_023015925.1 79.8457 "M. fortuitum"
GCF_022179545.1 GCF_017352375.1 79.7801 "M. fortuitum"
GCF_022179545.1 GCF_010728155.1 79.7556 "M. fortuitum"
GCF_022179545.1 GCF_900187065.1 79.6329 "M. fortuitum"
GCF_023015925.1 GCF_023015925.1 100 "M. sp."
GCF_023015925.1 GCF_017352375.1 87.0987 "M. sp."
GCF_023015925.1 NZ_AP022586 82.8785 "M. sp."
GCF_023015925.1 GCF_010731695.1 82.8785 "M. sp."
GCF_023015925.1 AP023287 82.7411 "M. sp."
GCF_023015925.1 GCF_014218295.1 82.7411 "M. sp."
GCF_023015925.1 TPG_MSP_01 82.6716 "M. sp."
GCF_023015925.1 GCF_015910495.1 82.3764 "M. sp."
GCF_023015925.1 GCF_016313185.1 82.2993 "M. sp."
GCF_023015925.1 GCF_010728155.1 81.9522 "M. sp."
GCF_023015925.1 GCF_030519285.1 81.745 "M. sp."
GCF_023015925.1 GCF_001583415.1 81.3047 "M. sp."
GCF_023015925.1 GCF_900603025.1 80.4719 "M. sp."
GCF_023015925.1 GCF_900187065.1 80.2891 "M. sp."
GCF_023015925.1 GCF_022179545.1 79.7713 "M. sp."
GCF_030519285.1 GCF_030519285.1 100 "M. arsceniresistans"
GCF_030519285.1 NZ_AP022586 82.1829 "M. arsceniresistans"
GCF_030519285.1 GCF_010731695.1 82.1829 "M. arsceniresistans"
GCF_030519285.1 TPG_MSP_01 82.0242 "M. arsceniresistans"
GCF_030519285.1 GCF_014218295.1 82.0059 "M. arsceniresistans"
GCF_030519285.1 AP023287 82.0059 "M. arsceniresistans"
GCF_030519285.1 GCF_001583415.1 81.6968 "M. arsceniresistans"
GCF_030519285.1 GCF_023015925.1 81.6644 "M. arsceniresistans"
GCF_030519285.1 GCF_017352375.1 81.6293 "M. arsceniresistans"
GCF_030519285.1 GCF_015910495.1 81.577 "M. arsceniresistans"
GCF_030519285.1 GCF_016313185.1 81.562 "M. arsceniresistans"
GCF_030519285.1 GCF_010728155.1 81.2593 "M. arsceniresistans"
GCF_030519285.1 GCF_900603025.1 80.8876 "M. arsceniresistans"
GCF_030519285.1 GCF_900187065.1 80.5021 "M. arsceniresistans"
GCF_030519285.1 GCF_022179545.1 80.1181 "M. arsceniresistans"
GCF_900187065.1 GCF_900187065.1 100 "M. thermoresistible"
GCF_900187065.1 GCF_900603025.1 82.0913 "M. thermoresistible"
GCF_900187065.1 GCF_001583415.1 81.8327 "M. thermoresistible"
GCF_900187065.1 AP023287 81.0341 "M. thermoresistible"
GCF_900187065.1 GCF_014218295.1 81.0341 "M. thermoresistible"
GCF_900187065.1 NZ_AP022586 80.9759 "M. thermoresistible"
GCF_900187065.1 GCF_010731695.1 80.9759 "M. thermoresistible"
GCF_900187065.1 TPG_MSP_01 80.8295 "M. thermoresistible"
GCF_900187065.1 GCF_030519285.1 80.4291 "M. thermoresistible"
GCF_900187065.1 GCF_015910495.1 80.3393 "M. thermoresistible"
GCF_900187065.1 GCF_010728155.1 80.3297 "M. thermoresistible"
GCF_900187065.1 GCF_023015925.1 80.328 "M. thermoresistible"
GCF_900187065.1 GCF_016313185.1 80.324700000000007 "M. thermoresistible"
GCF_900187065.1 GCF_017352375.1 80.062 "M. thermoresistible"
GCF_900187065.1 GCF_022179545.1 79.7553 "M. thermoresistible"
GCF_900603025.1 GCF_900603025.1 100 "M. hassiacum"
GCF_900603025.1 GCF_001583415.1 83.6619 "M. hassiacum"
GCF_900603025.1 GCF_900187065.1 82.2205 "M. hassiacum"
GCF_900603025.1 TPG_MSP_01 81.1027 "M. hassiacum"
GCF_900603025.1 GCF_014218295.1 81.0972 "M. hassiacum"
GCF_900603025.1 AP023287 81.0972 "M. hassiacum"
GCF_900603025.1 GCF_030519285.1 80.9913 "M. hassiacum"
GCF_900603025.1 GCF_010731695.1 80.9852 "M. hassiacum"
GCF_900603025.1 NZ_AP022586 80.9852 "M. hassiacum"
GCF_900603025.1 GCF_023015925.1 80.4489 "M. hassiacum"
GCF_900603025.1 GCF_015910495.1 80.403 "M. hassiacum"
GCF_900603025.1 GCF_016313185.1 80.3933 "M. hassiacum"
GCF_900603025.1 GCF_017352375.1 80.3811 "M. hassiacum"
GCF_900603025.1 GCF_010728155.1 80.0347 "M. hassiacum"
GCF_900603025.1 GCF_022179545.1 79.8705 "M. hassiacum"
NZ_AP022586 NZ_AP022586 100 "M. litorale"
NZ_AP022586 GCF_010731695.1 100 "M. litorale"
NZ_AP022586 TPG_MSP_01 88.0546 "M. litorale"
NZ_AP022586 AP023287 88.0474 "M. litorale"
NZ_AP022586 GCF_014218295.1 88.0474 "M. litorale"
NZ_AP022586 GCF_016313185.1 87.4392 "M. litorale"
NZ_AP022586 GCF_015910495.1 87.3829 "M. litorale"
NZ_AP022586 GCF_010728155.1 85.32 "M. litorale"
NZ_AP022586 GCF_017352375.1 82.866 "M. litorale"
NZ_AP022586 GCF_023015925.1 82.739 "M. litorale"
NZ_AP022586 GCF_030519285.1 82.156 "M. litorale"
NZ_AP022586 GCF_001583415.1 82.0291 "M. litorale"
NZ_AP022586 GCF_900603025.1 81.0534 "M. litorale"
NZ_AP022586 GCF_900187065.1 80.7929 "M. litorale"
NZ_AP022586 GCF_022179545.1 80.24 "M. litorale"
TPG_MSP_01 TPG_MSP_01 100 "M. sp."
TPG_MSP_01 GCF_014218295.1 99.5735 "M. sp."
TPG_MSP_01 AP023287 99.5735 "M. sp."
TPG_MSP_01 NZ_AP022586 88.1106 "M. sp."
TPG_MSP_01 GCF_010731695.1 88.1106 "M. sp."
TPG_MSP_01 GCF_015910495.1 86.6067 "M. sp."
TPG_MSP_01 GCF_016313185.1 86.5516 "M. sp."
TPG_MSP_01 GCF_010728155.1 85.4541 "M. sp."
TPG_MSP_01 GCF_023015925.1 82.7348 "M. sp."
TPG_MSP_01 GCF_017352375.1 82.5617 "M. sp."
TPG_MSP_01 GCF_030519285.1 82.1173 "M. sp."
TPG_MSP_01 GCF_001583415.1 81.6966 "M. sp."
TPG_MSP_01 GCF_900603025.1 81.0921 "M. sp."
TPG_MSP_01 GCF_900187065.1 80.7766 "M. sp."
TPG_MSP_01 GCF_022179545.1 80.1494 "M. sp."
